Probability,ID
0.9869595887358901,3310
0.9796339813777681,3185
0.978693442776981,3250
0.9784530206304259,3306
0.9775139604737535,3260
0.9718620758455554,3256
0.968815710273273,3269
0.962427131372246,3257
0.9583178365581496,3278
0.9429620651758065,3315
0.9324836035903453,3120
0.9293754041376854,3292
0.9224796741826596,3009
0.9195661208736103,3159
0.919476757036334,3268
0.9137994128489059,3316
0.9131553950813623,3031
0.9009938949870903,3232
0.8756283044933558,3180
0.8620660581248228,3211
0.8566715076112578,3084
0.845594338779632,3068
0.8425555383747745,3320
0.8360976913910926,3136
0.8285608373086841,3079
0.8267931396238604,3094
0.8199684309073394,3178
0.7796962008496097,3285
0.7102951616238867,3203
0.7074758947290274,3065
0.6998825660771372,3258
0.6803837064305722,3197
0.6739396167683478,3148
0.595160089540307,3085
0.5399947210739072,3117
0.5280118930186343,3089
0.41219123865699814,3289
0.40075176015026703,3011
0.3835660762617599,3044
0.3113692377600834,3253
0.3106587502332103,3213
0.30446253237775317,3279
0.28404052838256943,3133
0.27051867385141437,3290
0.23337879802957892,3172
0.22030149603610252,3015
0.20437532004037143,3252
0.1920057065716636,3095
0.18419030239741177,3049
0.16333921617758673,3013
0.16182938170997954,3195
0.1605157285881399,3293
0.15781669505483392,3326
0.1555515240539542,3007
0.15416096170013444,3034
0.15165196196484573,3124
0.14724777361581873,3218
0.146849839795974,3046
0.14479502025602345,3169
0.1362722891916785,3061
0.13251949799483298,3176
0.1316853466613403,3318
0.1309496563493139,3259
0.12963598628968698,3156
0.12911171695327037,3186
0.12154638937663316,3077
0.11836945901575645,3017
0.11638189815017734,3162
0.11620799454773446,3076
0.11330396860729665,3143
0.10999812743791283,3235
0.10926908432245798,3091
0.1087432702887074,3135
0.10777427007232643,3092
0.10694023236420848,3152
0.10565257926083926,3171
0.10544648987244426,3020
0.1037390924082502,3072
0.10349082122139817,3294
0.10260492175087754,3021
0.10068211799060406,3233
0.09902332852263256,3055
0.09901697831426552,3298
0.09899377768981084,3056
0.0977889910593658,3025
0.09617521692800017,3030
0.09341890153437744,3179
0.09127481052717201,3051
0.08677376654798512,3150
0.08647545004608448,3038
0.08558857559547499,3103
0.08528426291004436,3208
0.08490170842449202,3016
0.08436838881907115,3134
0.08244626738417347,3324
0.08193512817940639,3027
0.08186559523555755,3262
0.08152557893158167,3168
0.08050691298535824,3158
0.08040694958226417,3037
